,Unnamed: 0,Id,MSSubClass,LotFrontage,LotArea,Utilities,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MiscVal,MoSold,YrSold,SalePrice,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,GarageQnC,GarageEra,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,FireplaceQuNum,FireplaceParameter,HeatingRank,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Street_Pave,Alley_Pave,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,RoofMatl_CompShg,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,MasVnrType_BrkFace,MasVnrType_Stone,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,TotalArea,TotalFinishedSF,TotalOutdoorArea,TotalRooms,RoomDensity,TotalFloors,Has2ndFloor,TotalBathrooms,BathPerRoom,BathQualityInteraction,TotalKitchens,KitchenPremium,HouseAge,YearsSinceRemodel,IsRemodeled,RecentRemodel,HouseAgeBin,TotalPorchArea,HasPorch,OutdoorLuxury,HasPool,BsmtFinishedRatio,HasFinishedBsmt,BasementScore,OverallScore,ExteriorScore,LuxuryScore,LivingAreaRatio
0,0,1,60,65.0,8450,4,2,7,5,2003,2003,196.0,4,3,4,3,1,6,706,1,0,150,856,4,1,4,856,854,0,1710,1,0,2,1,3,1,4,8,7,548,2,0,61,0,0,0,0,0.0,0,0,2,2008,12.24769911637256,0,0,0,1,0,0,0,0,0,0,0,0,1,2.0,4,True,False,False,False,False,0.0,0.0,6,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2566,2416,61,12,190.0,2,1,3.5,0.3888888888888889,24.5,1,16,5,5,0,1,4,61,1,61,0,0.823803967327888,1,24,35,12,19,0.6661472536034281
1,1,2,20,80.0,9600,4,2,6,8,1976,1976,0.0,3,3,4,3,4,5,978,1,0,284,1262,4,1,4,1262,0,0,1262,0,1,2,0,3,1,3,6,7,460,2,298,0,0,0,0,0,0.0,0,0,5,2007,12.109016442313738,0,0,0,1,0,0,0,0,0,0,0,0,1,2.0,2,True,False,False,False,False,3.0,2.079441541679836,6,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2524,2240,298,10,180.28571428571428,1,0,2.5,0.3571428571428571,15.0,1,9,31,31,0,0,2,0,0,298,0,0.7743467933491687,1,60,48,9,16,0.4998019801980198
2,2,3,60,68.0,11250,4,2,7,5,2001,2002,162.0,4,3,4,3,2,6,486,1,0,434,920,4,1,4,920,866,0,1786,1,0,2,1,3,1,4,6,7,608,2,0,42,0,0,0,0,0.0,0,0,9,2008,12.317171167298682,0,0,0,1,0,0,0,0,0,0,0,0,1,2.0,4,True,False,False,False,False,3.0,2.079441541679836,6,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2706,2272,42,10,255.14285714285717,2,1,3.5,0.5,24.5,1,16,7,6,1,1,4,42,1,42,0,0.5276872964169381,1,36,35,12,19,0.6597709641669746
3,3,4,70,60.0,9550,4,2,7,5,1915,1970,0.0,3,3,3,4,1,5,216,1,0,540,756,3,1,4,961,756,0,1717,1,0,1,0,3,1,4,7,7,642,2,0,35,272,0,0,0,0.0,0,0,2,2006,11.849404844423074,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,3,False,False,False,False,True,4.0,2.772588722239781,6,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2473,1933,307,11,214.625,2,1,2.0,0.25,14.0,1,16,91,36,1,0,1,307,1,307,0,0.285336856010568,1,24,35,9,17,0.6940177849636217
4,4,5,60,84.0,14260,4,2,8,5,2000,2000,350.0,4,3,4,3,3,6,655,1,0,490,1145,4,1,4,1145,1053,0,2198,1,0,2,1,4,1,4,9,7,836,2,192,84,0,0,0,0,0.0,0,0,12,2008,12.429220196836384,0,0,0,1,0,0,0,0,0,0,0,0,1,2.0,3,True,False,False,False,False,3.0,2.079441541679836,6,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3343,2853,276,14,219.8,2,1,3.5,0.35,28.0,1,16,8,8,0,1,4,84,1,276,0,0.5715532286212914,1,48,40,12,20,0.6572966507177034
5,5,6,50,85.0,14115,4,2,5,5,1993,1995,0.0,3,3,4,3,1,6,732,1,0,64,796,4,1,4,796,566,0,1362,1,0,1,1,1,1,3,5,7,480,2,40,30,0,320,0,0,2.0,1,700,10,2009,11.870606902224589,0,0,0,1,0,0,0,0,0,0,0,0,1,2.0,3,True,False,False,False,False,0.0,0.0,6,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2158,2094,390,7,227.0,2,1,2.5,0.4166666666666667,12.5,1,9,16,14,1,0,3,350,1,390,0,0.918444165621079,1,24,25,9,15,0.6308476146364057
6,6,7,20,75.0,10084,4,2,8,5,2004,2005,186.0,4,3,5,3,3,6,1369,1,0,317,1686,4,1,4,1694,0,0,1694,1,0,2,0,3,1,4,7,7,636,2,255,57,0,0,0,0,0.0,0,0,8,2007,12.63460628389302,0,0,0,1,0,0,0,0,0,0,0,0,1,2.0,4,True,False,False,False,False,4.0,2.772588722239781,6,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3380,3063,312,11,211.75,1,0,3.0,0.375,24.0,1,16,3,2,1,1,4,57,1,312,0,0.8114997036158862,1,60,40,12,20,0.5010351966873706
7,7,8,60,0.0,10382,4,2,7,6,1973,1973,240.0,3,3,4,3,2,5,859,4,32,216,1107,4,1,4,1107,983,0,2090,1,0,2,1,3,1,3,7,7,484,2,235,204,228,0,0,0,0.0,1,350,11,2009,12.206077645517674,0,0,0,1,0,0,0,0,0,0,0,0,1,2.0,2,True,False,False,False,False,3.0,3.295836866004329,6,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3197,2981,667,11,261.25,2,1,3.5,0.4375,24.5,1,9,36,36,0,0,2,432,1,667,0,0.8041516245487365,1,36,42,9,17,0.6535334584115072
8,8,9,50,51.0,6120,4,2,7,5,1931,1950,0.0,3,3,3,3,1,1,0,1,0,952,952,3,1,2,1022,752,0,1774,0,0,2,0,2,2,3,8,6,468,2,90,0,205,0,0,0,0.0,0,0,4,2008,11.774527900858468,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,1,False,False,False,False,True,3.0,3.295836866004329,6,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2726,1774,295,12,197.11111111111111,2,1,2.0,0.2222222222222222,14.0,2,9,77,58,1,0,1,205,1,295,0,0.0,0,18,35,9,16,0.6505317198386505
9,9,10,190,50.0,7420,4,2,5,6,1939,1950,0.0,3,3,3,3,1,6,851,1,0,140,991,4,1,4,1077,0,0,1077,1,0,1,0,2,2,3,5,7,205,2,0,4,0,0,0,0,0.0,0,0,1,2008,11.678448377988165,0,0,0,1,0,0,0,0,0,0,0,0,1,2.5,1,True,False,False,False,False,3.0,3.295836866004329,6,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2068,1928,4,9,179.5,1,0,2.0,0.3333333333333333,10.0,2,9,69,58,1,0,1,4,1,4,0,0.8578629032258065,1,18,30,9,15,0.5205413243112614
